categories,freqquency
Card Game,8003
Wargame,4525
Fantasy,3431
Dice,2387
Party Game,2329
Science Fiction,2049
Fighting,1994
Children's Game,1964
Animals,1841
Abstract Strategy,1824
Economic,1818
Adventure,1559
Deduction,1508
World War II,1424
Humor,1413
Miniatures,1394
Bluffing,1343
Movies / TV / Radio theme,1219
Medieval,1201
Exploration,1186
Puzzle,1040
Action / Dexterity,1029
Print & Play,878
Ancient,868
Real-time,866
Horror,852
Nautical,784
Negotiation,741
Territory Building,675
Racing,671
City Building,658
Memory,612
Educational,609
Political,596
Novel-based,594
Sports,564
Trivia,521
Word Game,520
Mythology,502
Murder / Mystery,497
Transportation,477
Modern Warfare,462
Video Game Theme,458
Trains,416
Civilization,413
Comic Book / Strip,408
Space Exploration,392
Pirates,392
Collectible Components,390
Napoleonic,378
Industry / Manufacturing,373
Environmental,347
Travel,335
Aviation / Flight,334
Post-Napoleonic,323
Renaissance,313
Farming,302
Number,298
American West,274
American Civil War,271
World War I,266
Spies / Secret Agents,263
Zombies,248
Maze,227
Book,223
Civil War,216
Age of Reason,208
Mature / Adult,202
Math,200
Prehistoric,199
Electronic,192
Religious,163
Mafia,157
Pike and Shot,122
Music,117
Medical,109
Arabian,88
American Revolutionary War,86
Vietnam War,80
American Indian Wars,56
Game System,30
Korean War,29
Expansion for Base-game,24
Fan Expansion,1
